2
127 127
1 50 0.138011
1 51 -0.104123
1 52 0.0908031
1 53 -0.0840729
1 54 0.132302
1 55 -0.00877742
1 56 0.113304
1 57 -0.0271626
1 58 0.0916912
1 59 -0.122317
1 60 -0.052765
1 61 -0.00449094
1 62 0.0323593
1 63 -0.000101087
1 64 0.0474567
1 65 0.0495979
1 66 0.00733146
1 67 0.0628567
1 68 0.109878
1 69 0.00736201
1 70 -0.0539744
1 71 0.118813
1 72 -0.0896595
1 73 -0.10232
1 74 0.0042027
1 75 0.166278
1 76 0.0260467
1 77 -0.0094563
1 78 0.0906398
1 79 -0.0221921
1 80 -0.00253956
1 81 0.0822445
1 82 0.0230447
1 83 0.0898577
1 84 0.102458
1 85 0.0757255
1 86 -0.0111047
1 87 -0.0920764
1 88 0.127105
1 89 -0.103004
1 90 -0.0267302
1 91 0.0140215
1 92 0.0522841
1 93 0.150765
1 94 0.248701
1 95 -0.0179719
1 96 0.0141311
1 97 0.0218534
1 98 0.109794
1 99 0.108471
1 100 0.0163051
1 101 -0.0846072
1 102 -0.0373839
1 103 -0.0105116
1 104 0.004053
1 105 -0.0114548
1 106 -0.117388
1 107 0.032211
1 108 0.036962
1 109 0.068304
1 110 0.118279
1 111 0.00693609
1 112 -0.0216891
1 113 -0.00421971
1 114 -0.136423
1 115 0.0394981
1 116 0.0909997
1 117 0.134312
1 118 -0.0699329
1 119 -0.0997345
1 120 -0.0566414
1 121 -0.00632936
1 122 -0.0955791
1 123 0.111436
1 124 0.0107447
1 125 -0.155683
1 126 0.0887054
2 0 0.0799388
2 1 -0.119647
2 2 -0.113675
2 3 -0.172854
2 4 -0.00358071
2 5 0.0192822
2 6 0.0757076
2 7 0.160609
2 8 -0.0203219
2 9 -0.0336183
2 10 0.0989902
2 11 0.0456133
2 12 -0.00276002
2 13 -0.112057
2 14 -0.158192
2 15 0.030149
2 16 -0.0159762
2 17 -0.0649267
2 18 -0.0734898
2 19 0.0141
2 20 -0.130246
2 21 0.0411501
2 22 0.0365164
2 23 0.164034
2 24 0.198055
2 25 0.00618966
2 26 -0.0806588
2 27 0.116422
2 28 -0.103731
2 29 0.110317
2 30 -0.1769
2 31 0.0156707
2 32 0.121559
2 33 -0.116919
2 34 0.0223767
2 35 -0.060376
2 36 0.0593199
2 37 0.00653296
2 38 0.113271
2 39 0.0244857
2 40 -0.0330105
2 41 -0.120357
2 42 -0.16076
2 43 0.0331287
2 44 0.0788033
2 45 -0.0768902
2 46 -0.135135
2 47 -0.127944
2 48 -0.0757181
2 49 0.0369544
2 50 -0.0474164
2 51 0.0665318
2 52 -0.0650004
2 53 0.0164906
2 54 0.00978857
2 55 0.0221517
2 56 0.112406
2 57 -0.0530734
2 58 -0.208862
2 59 0.00511012
2 60 -0.0969422
2 61 -0.0203603
2 62 -0.188372
2 63 -0.0985927
2 64 0.08583
2 65 0.0470849
2 66 -0.0870179
2 67 -0.0321836
2 68 0.133026
2 69 0.159292
2 70 0.0316844
2 71 -0.0613872
2 72 0.0917597
2 73 0.0666193
2 74 -0.0169031
2 75 0.154445
2 76 -0.0204757
2 77 -0.142131
2 78 0.109655
2 79 0.074893
2 80 0.123995
2 81 -0.145541
2 82 -0.203986
2 83 -0.0488039
2 84 0.0563551
2 85 -0.0570461
2 86 -0.0372337
2 87 -0.0813469
2 88 0.148383
2 89 -0.122363
2 90 0.113332
2 91 0.0200741
2 92 -0.189798
2 93 -0.0494727
2 94 0.0691098
2 95 0.132445
2 96 0.0648075
2 97 0.0856762
2 98 0.181947
2 99 0.225864
2 100 -0.0114827
2 101 0.0987171
2 102 0.0142662
2 103 -0.0485651
2 104 0.0643705
2 105 0.0507864
2 106 0.0715066
2 107 0.00914225
2 108 -0.00155344
2 109 -0.0457977
2 110 0.0768139
2 111 0.0317997
2 112 0.0634656
2 113 -0.0177226
2 114 0.0259014
2 115 0.0104968
2 116 -0.0144739
2 117 0.102595
2 118 -0.116637
2 119 0.165882
2 120 0.0649029
2 121 -0.0468554
2 122 -0.0579441
2 123 0.120711
2 124 0.020497
2 125 0.0143631
2 126 -0.0246195
3 0 0.100889
3 1 -0.147334
3 2 -0.14196
3 3 -0.143011
3 4 0.015784
3 5 0.0393528
3 6 -0.00112142
3 7 0.171132
3 8 -0.166992
3 9 -0.0544276
3 10 0.0828929
3 11 0.138201
3 12 0.0827226
3 13 -0.103329
3 14 0.0668707
3 15 0.184806
3 16 -0.0186141
3 17 0.0475216
3 18 0.128517
3 19 -0.0936334
3 20 -0.358214
3 21 -0.0846577
3 22 0.0843018
3 23 0.195207
3 24 0.120909
3 25 -0.17401
3 26 0.125238
3 27 -0.0100302
3 28 0.0474591
3 29 0.193951
3 30 0.106728
3 31 -0.0757678
3 32 0.104743
3 33 0.0324215
3 34 0.0446401
3 35 -0.0343322
3 36 -0.0201154
3 37 -0.081915
3 38 0.164009
3 39 -0.202016
3 40 0.00656767
3 41 -0.173599
3 42 -0.148707
3 43 0.111111
3 44 -0.0920678
3 45 -0.0589713
3 46 0.0812011
3 47 -0.137521
3 48 -0.0283046
3 49 -0.00781497
3 50 0.154661
3 51 0.231502
3 52 -0.0635929
